1572124370.554891;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572124370.560485;a0:af:bd:86:08:76;;Co-Working
1572124370.593252;a0:af:bd:86:08:76;;Co-Working
1572124370.609619;a0:af:bd:86:08:76;;Co-Working
1572124370.625167;a0:af:bd:86:08:76;;Co-Working
1572124370.664926;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572124370.775191;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572124370.885434;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572124371.585699;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124371.593112;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124371.593945;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124371.594759;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124371.97957;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124371.980277;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124372.09529;d0:04:01:69:49:03;;Hackathon_2G
1572124373.098974;b4:6b:fc:7a:ea:90;;Hackathon_5G
1572124373.318091;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.318804;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.324094;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.32859;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.329412;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.330656;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.332728;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.333457;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.540635;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.936431;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.937087;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.93796;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.938872;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.939623;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.940505;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.941296;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124373.942169;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.392299;c8:3c:85:4f:34:c1;;Hackathon_5G
1572124375.65634;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.667913;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.668741;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.670989;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.91555;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.916294;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.917024;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.919884;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.924037;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124375.925825;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.255622;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.256351;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.257183;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.258881;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.259733;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.261193;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.261926;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.48303;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.483996;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.564441;00:6e:07:89:11:8b;;ChinaNet
1572124377.63883;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572124377.746963;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.747808;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.748538;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.749927;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.750821;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.751728;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.752437;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.753268;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.75402;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124377.859513;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572124378.079986;f8:da:0c:ae:0e:73;Hon Hai Precision Ind. Co.,Ltd.;SEVENIT-Gast
1572124378.274123;e4:a4:71:d9:ed:a1;Intel Corporate;Hackathon_5G
1572124379.574651;00:6e:07:89:11:8b;;ChinaNet
1572124379.635502;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.636317;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.637047;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.638011;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.638722;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.643111;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.643944;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.644772;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.886402;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.887831;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.889395;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.891235;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124379.892251;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124380.441355;70:70:0d:d7:49:b4;Apple, Inc.;Co-Working
1572124380.445597;70:70:0d:d7:49:b4;Apple, Inc.;Co-Working
1572124380.742079;70:70:0d:d7:49:b4;Apple, Inc.;Co-Working
1572124380.746576;70:70:0d:d7:49:b4;Apple, Inc.;Co-Working
1572124380.795587;70:70:0d:d7:49:b4;Apple, Inc.;Co-Working
1572124380.799768;70:70:0d:d7:49:b4;Apple, Inc.;Co-Working
1572124381.138009;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124381.13872;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124381.145284;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124381.35057;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
1572124381.35134;84:25:3f:50:14:fe;Silex Technology, Inc;Co-Working
